Date,River_Name,Water_Level_Meters,Danger_Mark_Meters
2005-01-23,Thamirabarani,3.01,12.0
2005-01-24,Cauvery,2.96,12.0
2005-01-24,Palar,2.56,12.0
2005-01-24,Adyar,2.35,8.0
2005-01-24,Cooum,2.16,8.0
2005-01-24,Thamirabarani,2.85,12.0
2005-01-25,Cauvery,3.09,12.0
2005-01-25,Palar,2.95,12.0
2005-01-25,Adyar,2.06,8.0
2005-01-25,Cooum,1.91,8.0
2005-01-25,Thamirabarani,1.82,12.0
2005-01-26,Cauvery,2.74,12.0
2005-01-26,Palar,2.7,12.0
2005-01-26,Adyar,1.94,8.0
2005-01-26,Cooum,1.89,8.0
2005-01-26,Thamirabarani,2.02,12.0
2005-01-27,Cauvery,2.02,12.0
2005-01-27,Palar,2.78,12.0
2005-01-27,Adyar,2.45,8.0
2005-01-27,Cooum,2.46,8.0
2005-01-27,Thamirabarani,1.87,12.0
2005-01-28,Cauvery,2.84,12.0
2005-01-28,Palar,2.16,12.0
2005-01-28,Adyar,2.87,8.0
2005-01-28,Cooum,2.82,8.0
2005-01-28,Thamirabarani,2.34,12.0
2005-01-29,Cauvery,2.26,12.0
2005-01-29,Palar,2.68,12.0
2005-01-29,Adyar,3.03,8.0
2005-01-29,Cooum,2.14,8.0
2005-01-29,Thamirabarani,2.29,12.0
2005-01-30,Cauvery,2.25,12.0
2005-01-30,Palar,1.75,12.0
2005-01-30,Adyar,2.1,8.0
2005-01-30,Cooum,2.98,8.0
2005-01-30,Thamirabarani,2.41,12.0
2005-01-31,Cauvery,2.11,12.0
2005-01-31,Palar,1.65,12.0
2005-01-31,Adyar,1.91,8.0
2005-01-31,Cooum,3.02,8.0
2005-01-31,Thamirabarani,2.71,12.0
2005-02-01,Cauvery,2.98,12.0
2005-02-01,Palar,1.68,12.0
2005-02-01,Adyar,3.0,8.0
2005-02-01,Cooum,2.95,8.0
2005-02-01,Thamirabarani,2.01,12.0
2005-02-02,Cauvery,1.83,12.0
2005-02-02,Palar,2.92,12.0
2005-02-02,Adyar,2.26,8.0
2005-02-02,Cooum,2.47,8.0
2005-02-02,Thamirabarani,2.58,12.0
2005-02-03,Cauvery,2.71,12.0
2005-02-03,Palar,1.81,12.0
2005-02-03,Adyar,1.92,8.0
2005-02-03,Cooum,2.9,8.0
2005-02-03,Thamirabarani,3.06,12.0
2005-02-04,Cauvery,3.11,12.0
2005-02-04,Palar,1.56,12.0
2005-02-04,Adyar,1.76,8.0
2005-02-04,Cooum,3.12,8.0
2005-02-04,Thamirabarani,2.1,12.0
2005-02-05,Cauvery,2.42,12.0
2005-02-05,Palar,2.54,12.0
2005-02-05,Adyar,3.09,8.0
2005-02-05,Cooum,1.65,8.0
2005-02-05,Thamirabarani,2.39,12.0
2005-02-06,Cauvery,2.39,12.0
2005-02-06,Palar,1.84,12.0
2005-02-06,Adyar,1.72,8.0
2005-02-06,Cooum,2.68,8.0
2005-02-06,Thamirabarani,1.76,12.0
2005-02-07,Cauvery,2.82,12.0
2005-02-07,Palar,2.64,12.0
2005-02-07,Adyar,2.74,8.0
2005-02-07,Cooum,2.34,8.0
2005-02-07,Thamirabarani,3.13,12.0
2005-02-08,Cauvery,1.71,12.0
2005-02-08,Palar,3.19,12.0
2005-02-08,Adyar,1.66,8.0
2005-02-08,Cooum,1.81,8.0
2005-02-08,Thamirabarani,2.29,12.0
2005-02-09,Cauvery,2.46,12.0
2005-02-09,Palar,2.59,12.0
2005-02-09,Adyar,2.68,8.0
2005-02-09,Cooum,1.94,8.0
2005-02-09,Thamirabarani,1.61,12.0
2005-02-10,Cauvery,2.53,12.0
2005-02-10,Palar,3.19,12.0
2005-02-10,Adyar,1.81,8.0
2005-02-10,Cooum,2.29,8.0
2005-02-10,Thamirabarani,1.88,12.0
2005-02-11,Cauvery,3.2,12.0
2005-02-11,Palar,1.73,12.0
2005-02-11,Adyar,3.13,8.0
2005-02-11,Cooum,1.85,8.0
2005-02-11,Thamirabarani,2.4,12.0
2005-02-12,Cauvery,1.7,12.0
2005-02-12,Palar,3.07,12.0
2005-02-12,Adyar,1.82,8.0
2005-02-12,Cooum,1.87,8.0
2005-02-12,Thamirabarani,2.8,12.0
2005-02-13,Cauvery,2.74,12.0
2005-02-13,Palar,1.79,12.0
2005-02-13,Adyar,1.93,8.0
2005-02-13,Cooum,1.62,8.0
2005-02-13,Thamirabarani,2.5,12.0
2005-02-14,Cauvery,1.53,12.0
2005-02-14,Palar,2.75,12.0
2005-02-14,Adyar,1.87,8.0
2005-02-14,Cooum,2.52,8.0
2005-02-14,Thamirabarani,3.03,12.0
2005-02-15,Cauvery,2.95,12.0
2005-02-15,Palar,2.5,12.0
2005-02-15,Adyar,1.69,8.0
2005-02-15,Cooum,2.16,8.0
2005-02-15,Thamirabarani,2.89,12.0
2005-02-16,Cauvery,2.3,12.0
2005-02-16,Palar,1.63,12.0
2005-02-16,Adyar,1.84,8.0
2005-02-16,Cooum,2.02,8.0
2005-02-16,Thamirabarani,1.91,12.0
2005-02-17,Cauvery,1.66,12.0
2005-02-17,Palar,1.71,12.0
2005-02-17,Adyar,2.65,8.0
2005-02-17,Cooum,3.03,8.0
2005-02-17,Thamirabarani,1.84,12.0
2005-02-18,Cauvery,2.82,12.0
2005-02-18,Palar,2.89,12.0
2005-02-18,Adyar,2.23,8.0
2005-02-18,Cooum,2.46,8.0
2005-02-18,Thamirabarani,1.58,12.0
2005-02-19,Cauvery,3.14,12.0
2005-02-19,Palar,1.92,12.0
2005-02-19,Adyar,2.25,8.0
2005-02-19,Cooum,3.17,8.0
2005-02-19,Thamirabarani,1.71,12.0
2005-02-20,Cauvery,1.99,12.0
2005-02-20,Palar,2.27,12.0
2005-02-20,Adyar,2.2,8.0
2005-02-20,Cooum,2.06,8.0
2005-02-20,Thamirabarani,2.03,12.0
2005-02-21,Cauvery,1.86,12.0
2005-02-21,Palar,2.21,12.0
2005-02-21,Adyar,3.1,8.0
2005-02-21,Cooum,2.78,8.0
2005-02-21,Thamirabarani,2.08,12.0
2005-02-22,Cauvery,2.14,12.0
2005-02-22,Palar,2.77,12.0
2005-02-22,Adyar,1.78,8.0
2005-02-22,Cooum,2.56,8.0
2005-02-22,Thamirabarani,1.82,12.0
2005-02-23,Cauvery,3.07,12.0
2005-02-23,Palar,2.04,12.0
2005-02-23,Adyar,2.03,8.0
2005-02-23,Cooum,1.88,8.0
2005-02-23,Thamirabarani,1.56,12.0
2005-02-24,Cauvery,2.61,12.0
2005-02-24,Palar,2.04,12.0
2005-02-24,Adyar,2.58,8.0
2005-02-24,Cooum,2.33,8.0
2005-02-24,Thamirabarani,2.31,12.0
2005-02-25,Cauvery,2.82,12.0
2005-02-25,Palar,1.55,12.0
2005-02-25,Adyar,2.85,8.0
2005-02-25,Cooum,1.83,8.0
2005-02-25,Thamirabarani,1.53,12.0
2005-02-26,Cauvery,2.74,12.0
2005-02-26,Palar,2.03,12.0
2005-02-26,Adyar,2.06,8.0
2005-02-26,Cooum,1.56,8.0
2005-02-26,Thamirabarani,1.74,12.0
2005-02-27,Cauvery,2.53,12.0
2005-02-27,Palar,1.7,12.0
2005-02-27,Adyar,3.09,8.0
2005-02-27,Cooum,2.41,8.0
2005-02-27,Thamirabarani,1.77,12.0
2005-02-28,Cauvery,1.69,12.0
2005-02-28,Palar,1.54,12.0
2005-02-28,Adyar,3.2,8.0
2005-02-28,Cooum,2.67,8.0
2005-02-28,Thamirabarani,2.37,12.0
2005-03-01,Cauvery,2.31,12.0
2005-03-01,Palar,2.94,12.0
2005-03-01,Adyar,3.01,8.0
2005-03-01,Cooum,1.9,8.0
2005-03-01,Thamirabarani,2.58,12.0
2005-03-02,Cauvery,2.06,12.0
2005-03-02,Palar,1.72,12.0
2005-03-02,Adyar,2.5,8.0
2005-03-02,Cooum,2.37,8.0
2005-03-02,Thamirabarani,2.69,12.0
2005-03-03,Cauvery,1.79,12.0
2005-03-03,Palar,2.28,12.0
2005-03-03,Adyar,2.13,8.0
2005-03-03,Cooum,2.0,8.0
2005-03-03,Thamirabarani,2.61,12.0
2005-03-04,Cauvery,2.56,12.0
2005-03-04,Palar,2.23,12.0
2005-03-04,Adyar,2.67,8.0
2005-03-04,Cooum,2.11,8.0
2005-03-04,Thamirabarani,2.1,12.0
2005-03-05,Cauvery,1.94,12.0
2005-03-05,Palar,2.32,12.0
2005-03-05,Adyar,2.58,8.0
2005-03-05,Cooum,2.26,8.0
2005-03-05,Thamirabarani,2.93,12.0
2005-03-06,Cauvery,3.02,12.0
2005-03-06,Palar,1.83,12.0
2005-03-06,Adyar,2.26,8.0
2005-03-06,Cooum,2.04,8.0
2005-03-06,Thamirabarani,2.29,12.0
2005-03-07,Cauvery,2.59,12.0
2005-03-07,Palar,2.67,12.0
2005-03-07,Adyar,2.95,8.0
2005-03-07,Cooum,2.62,8.0
2005-03-07,Thamirabarani,1.66,12.0
2005-03-08,Cauvery,3.04,12.0
2005-03-08,Palar,2.89,12.0
2005-03-08,Adyar,1.61,8.0
2005-03-08,Cooum,3.03,8.0
2005-03-08,Thamirabarani,1.98,12.0
2005-03-09,Cauvery,2.14,12.0
2005-03-09,Palar,1.98,12.0
2005-03-09,Adyar,2.04,8.0
2005-03-09,Cooum,2.06,8.0
2005-03-09,Thamirabarani,3.01,12.0
2005-03-10,Cauvery,2.86,12.0
2005-03-10,Palar,2.95,12.0
2005-03-10,Adyar,1.71,8.0
2005-03-10,Cooum,2.67,8.0
2005-03-10,Thamirabarani,2.97,12.0
2005-03-11,Cauvery,1.84,12.0
2005-03-11,Palar,3.1,12.0
2005-03-11,Adyar,2.02,8.0
2005-03-11,Cooum,3.19,8.0
2005-03-11,Thamirabarani,1.98,12.0
2005-03-12,Cauvery,2.73,12.0
2005-03-12,Palar,3.1,12.0
2005-03-12,Adyar,2.34,8.0
2005-03-12,Cooum,2.45,8.0
2005-03-12,Thamirabarani,2.75,12.0
2005-03-13,Cauvery,2.5,12.0
2005-03-13,Palar,1.73,12.0
2005-03-13,Adyar,2.76,8.0
2005-03-13,Cooum,2.79,8.0
2005-03-13,Thamirabarani,3.16,12.0
2005-03-14,Cauvery,2.05,12.0
2005-03-14,Palar,2.23,12.0
2005-03-14,Adyar,3.18,8.0
2005-03-14,Cooum,1.63,8.0
2005-03-14,Thamirabarani,2.05,12.0
2005-03-15,Cauvery,3.05,12.0
2005-03-15,Palar,2.66,12.0
2005-03-15,Adyar,2.67,8.0
2005-03-15,Cooum,3.06,8.0
2005-03-15,Thamirabarani,2.57,12.0
2005-03-16,Cauvery,1.64,12.0
2005-03-16,Palar,1.54,12.0
2005-03-16,Adyar,1.84,8.0
2005-03-16,Cooum,1.59,8.0
2005-03-16,Thamirabarani,2.97,12.0
2005-03-17,Cauvery,1.77,12.0
2005-03-17,Palar,2.07,12.0
2005-03-17,Adyar,3.12,8.0
2005-03-17,Cooum,2.65,8.0
2005-03-17,Thamirabarani,1.68,12.0
2005-03-18,Cauvery,1.8,12.0
2005-03-18,Palar,3.01,12.0
2005-03-18,Adyar,2.0,8.0
2005-03-18,Cooum,1.91,8.0
2005-03-18,Thamirabarani,3.15,12.0
2005-03-19,Cauvery,3.08,12.0
2005-03-19,Palar,2.22,12.0
2005-03-19,Adyar,2.53,8.0
2005-03-19,Cooum,2.7,8.0
2005-03-19,Thamirabarani,1.71,12.0
2005-03-20,Cauvery,2.04,12.0
2005-03-20,Palar,1.6,12.0
2005-03-20,Adyar,1.75,8.0
2005-03-20,Cooum,1.86,8.0
2005-03-20,Thamirabarani,1.66,12.0
2005-03-21,Cauvery,1.64,12.0
2005-03-21,Palar,3.15,12.0
2005-03-21,Adyar,2.79,8.0
2005-03-21,Cooum,2.19,8.0
2005-03-21,Thamirabarani,2.81,12.0
2005-03-22,Cauvery,2.83,12.0
2005-03-22,Palar,1.8,12.0
2005-03-22,Adyar,1.85,8.0
2005-03-22,Cooum,3.05,8.0
2005-03-22,Thamirabarani,2.38,12.0
2005-03-23,Cauvery,2.69,12.0
2005-03-23,Palar,2.18,12.0
2005-03-23,Adyar,2.99,8.0
2005-03-23,Cooum,2.34,8.0
2005-03-23,Thamirabarani,2.86,12.0
2005-03-24,Cauvery,1.86,12.0
2005-03-24,Palar,3.19,12.0
2005-03-24,Adyar,2.93,8.0
2005-03-24,Cooum,2.3,8.0
2005-03-24,Thamirabarani,2.1,12.0
2005-03-25,Cauvery,2.32,12.0
2005-03-25,Palar,3.04,12.0
2005-03-25,Adyar,2.68,8.0
2005-03-25,Cooum,3.01,8.0
2005-03-25,Thamirabarani,2.98,12.0
2005-03-26,Cauvery,1.84,12.0
2005-03-26,Palar,2.29,12.0
2005-03-26,Adyar,2.03,8.0
2005-03-26,Cooum,2.84,8.0
2005-03-26,Thamirabarani,3.14,12.0
2005-03-27,Cauvery,2.37,12.0
2005-03-27,Palar,2.64,12.0
2005-03-27,Adyar,2.52,8.0
2005-03-27,Cooum,1.56,8.0
2005-03-27,Thamirabarani,2.18,12.0
2005-03-28,Cauvery,3.05,12.0
2005-03-28,Palar,2.35,12.0
2005-03-28,Adyar,1.95,8.0
2005-03-28,Cooum,2.15,8.0
2005-03-28,Thamirabarani,3.08,12.0
2005-03-29,Cauvery,2.26,12.0
2005-03-29,Palar,2.86,12.0
2005-03-29,Adyar,2.01,8.0
2005-03-29,Cooum,3.01,8.0
2005-03-29,Thamirabarani,1.69,12.0
2005-03-30,Cauvery,2.87,12.0
2005-03-30,Palar,2.24,12.0
2005-03-30,Adyar,2.97,8.0
2005-03-30,Cooum,3.18,8.0
2005-03-30,Thamirabarani,1.8,12.0
2005-03-31,Cauvery,2.46,12.0
2005-03-31,Palar,2.94,12.0
2005-03-31,Adyar,2.8,8.0
2005-03-31,Cooum,1.62,8.0
2005-03-31,Thamirabarani,1.79,12.0
2005-04-01,Cauvery,3.06,12.0
2005-04-01,Palar,2.12,12.0
2005-04-01,Adyar,2.54,8.0
2005-04-01,Cooum,1.65,8.0
2005-04-01,Thamirabarani,2.67,12.0
2005-04-02,Cauvery,2.79,12.0
2005-04-02,Palar,1.79,12.0
2005-04-02,Adyar,1.71,8.0
2005-04-02,Cooum,2.0,8.0
2005-04-02,Thamirabarani,2.92,12.0
2005-04-03,Cauvery,2.76,12.0
2005-04-03,Palar,2.61,12.0
2005-04-03,Adyar,1.87,8.0
2005-04-03,Cooum,1.92,8.0
2005-04-03,Thamirabarani,2.43,12.0
2005-04-04,Cauvery,3.02,12.0
2005-04-04,Palar,2.72,12.0
2005-04-04,Adyar,2.45,8.0
2005-04-04,Cooum,2.63,8.0
2005-04-04,Thamirabarani,2.95,12.0
2005-04-05,Cauvery,2.0,12.0
2005-04-05,Palar,3.13,12.0
2005-04-05,Adyar,1.73,8.0
2005-04-05,Cooum,3.11,8.0
2005-04-05,Thamirabarani,2.09,12.0
2005-04-06,Cauvery,2.72,12.0
2005-04-06,Palar,2.65,12.0
2005-04-06,Adyar,1.65,8.0
2005-04-06,Cooum,2.14,8.0
2005-04-06,Thamirabarani,2.93,12.0
2005-04-07,Cauvery,2.8,12.0
2005-04-07,Palar,2.85,12.0
2005-04-07,Adyar,1.86,8.0
2005-04-07,Cooum,1.51,8.0
2005-04-07,Thamirabarani,2.4,12.0
2005-04-08,Cauvery,1.84,12.0
2005-04-08,Palar,1.97,12.0
2005-04-08,Adyar,2.81,8.0
2005-04-08,Cooum,2.82,8.0
2005-04-08,Thamirabarani,2.62,12.0
2005-04-09,Cauvery,1.94,12.0
2005-04-09,Palar,2.96,12.0
2005-04-09,Adyar,3.13,8.0
2005-04-09,Cooum,1.98,8.0
2005-04-09,Thamirabarani,2.68,12.0
2005-04-10,Cauvery,3.18,12.0
2005-04-10,Palar,2.43,12.0
2005-04-10,Adyar,2.64,8.0
2005-04-10,Cooum,2.51,8.0
2005-04-10,Thamirabarani,1.85,12.0
2005-04-11,Cauvery,2.82,12.0
2005-04-11,Palar,2.08,12.0
2005-04-11,Adyar,3.05,8.0
2005-04-11,Cooum,1.65,8.0
2005-04-11,Thamirabarani,2.89,12.0
2005-04-12,Cauvery,2.61,12.0
2005-04-12,Palar,2.71,12.0
2005-04-12,Adyar,2.64,8.0
2005-04-12,Cooum,1.65,8.0
2005-04-12,Thamirabarani,2.53,12.0
2005-04-13,Cauvery,2.49,12.0
2005-04-13,Palar,2.18,12.0
2005-04-13,Adyar,2.98,8.0
2005-04-13,Cooum,2.66,8.0
2005-04-13,Thamirabarani,1.82,12.0
2005-04-14,Cauvery,1.67,12.0
2005-04-14,Palar,2.76,12.0
2005-04-14,Adyar,1.53,8.0
2005-04-14,Cooum,3.08,8.0
2005-04-14,Thamirabarani,2.31,12.0
2005-04-15,Cauvery,2.07,12.0
2005-04-15,Palar,2.44,12.0
2005-04-15,Adyar,3.02,8.0
2005-04-15,Cooum,2.79,8.0
2005-04-15,Thamirabarani,1.55,12.0
2005-04-16,Cauvery,1.61,12.0
2005-04-16,Palar,3.12,12.0
2005-04-16,Adyar,3.14,8.0
2005-04-16,Cooum,1.58,8.0
2005-04-16,Thamirabarani,1.98,12.0
2005-04-17,Cauvery,1.62,12.0
2005-04-17,Palar,3.04,12.0
2005-04-17,Adyar,3.18,8.0
2005-04-17,Cooum,1.63,8.0
2005-04-17,Thamirabarani,2.31,12.0
2005-04-18,Cauvery,3.17,12.0
2005-04-18,Palar,2.72,12.0
2005-04-18,Adyar,2.7,8.0
2005-04-18,Cooum,1.63,8.0
2005-04-18,Thamirabarani,2.14,12.0
2005-04-19,Cauvery,2.9,12.0
2005-04-19,Palar,2.14,12.0
2005-04-19,Adyar,2.85,8.0
2005-04-19,Cooum,1.52,8.0
2005-04-19,Thamirabarani,2.52,12.0
2005-04-20,Cauvery,1.85,12.0
2005-04-20,Palar,1.76,12.0
2005-04-20,Adyar,1.82,8.0
2005-04-20,Cooum,3.19,8.0
2005-04-20,Thamirabarani,2.68,12.0
2005-04-21,Cauvery,2.97,12.0
2005-04-21,Palar,2.27,12.0
2005-04-21,Adyar,2.21,8.0
2005-04-21,Cooum,2.93,8.0
2005-04-21,Thamirabarani,1.68,12.0
2005-04-22,Cauvery,2.05,12.0
2005-04-22,Palar,2.47,12.0
2005-04-22,Adyar,2.61,8.0
2005-04-22,Cooum,2.22,8.0
2005-04-22,Thamirabarani,1.65,12.0
2005-04-23,Cauvery,2.56,12.0
2005-04-23,Palar,1.97,12.0
2005-04-23,Adyar,2.6,8.0
2005-04-23,Cooum,2.02,8.0
2005-04-23,Thamirabarani,2.84,12.0
2005-04-24,Cauvery,2.69,12.0
2005-04-24,Palar,2.84,12.0
2005-04-24,Adyar,2.12,8.0
2005-04-24,Cooum,2.62,8.0
2005-04-24,Thamirabarani,1.74,12.0
2005-04-25,Cauvery,2.14,12.0
2005-04-25,Palar,3.09,12.0
2005-04-25,Adyar,2.0,8.0
2005-04-25,Cooum,2.82,8.0
2005-04-25,Thamirabarani,2.31,12.0
2005-04-26,Cauvery,1.94,12.0
2005-04-26,Palar,2.92,12.0
2005-04-26,Adyar,1.73,8.0
2005-04-26,Cooum,1.78,8.0
2005-04-26,Thamirabarani,1.99,12.0
2005-04-27,Cauvery,1.81,12.0
2005-04-27,Palar,2.14,12.0
2005-04-27,Adyar,2.39,8.0
2005-04-27,Cooum,1.94,8.0
2005-04-27,Thamirabarani,2.92,12.0
2005-04-28,Cauvery,1.61,12.0
2005-04-28,Palar,1.98,12.0
2005-04-28,Adyar,2.89,8.0
2005-04-28,Cooum,2.17,8.0
2005-04-28,Thamirabarani,1.8,12.0
2005-04-29,Cauvery,3.12,12.0
2005-04-29,Palar,2.35,12.0
2005-04-29,Adyar,1.74,8.0
2005-04-29,Cooum,2.46,8.0
2005-04-29,Thamirabarani,3.04,12.0
2005-04-30,Cauvery,2.91,12.0
2005-04-30,Palar,2.37,12.0
2005-04-30,Adyar,2.9,8.0
2005-04-30,Cooum,2.16,8.0
2005-04-30,Thamirabarani,2.89,12.0
2005-05-01,Cauvery,2.29,12.0
2005-05-01,Palar,1.99,12.0
2005-05-01,Adyar,1.7,8.0
2005-05-01,Cooum,2.66,8.0
2005-05-01,Thamirabarani,2.14,12.0
2005-05-02,Cauvery,3.02,12.0
2005-05-02,Palar,2.03,12.0
2005-05-02,Adyar,2.43,8.0
2005-05-02,Cooum,3.08,8.0
2005-05-02,Thamirabarani,2.61,12.0
2005-05-03,Cauvery,1.53,12.0
2005-05-03,Palar,2.46,12.0
2005-05-03,Adyar,3.14,8.0
2005-05-03,Cooum,3.15,8.0
2005-05-03,Thamirabarani,2.62,12.0
2005-05-04,Cauvery,1.93,12.0
2005-05-04,Palar,2.65,12.0
2005-05-04,Adyar,3.04,8.0
2005-05-04,Cooum,2.0,8.0
2005-05-04,Thamirabarani,1.52,12.0
2005-05-05,Cauvery,1.97,12.0
2005-05-05,Palar,2.05,12.0
2005-05-05,Adyar,1.65,8.0
2005-05-05,Cooum,1.63,8.0
2005-05-05,Thamirabarani,2.44,12.0
2005-05-06,Cauvery,2.91,12.0
2005-05-06,Palar,2.35,12.0
2005-05-06,Adyar,1.68,8.0
2005-05-06,Cooum,3.06,8.0
2005-05-06,Thamirabarani,2.75,12.0
2005-05-07,Cauvery,1.8,12.0
2005-05-07,Palar,3.14,12.0
2005-05-07,Adyar,3.1,8.0
2005-05-07,Cooum,2.45,8.0
2005-05-07,Thamirabarani,1.75,12.0
2005-05-08,Cauvery,2.96,12.0
2005-05-08,Palar,2.13,12.0
2005-05-08,Adyar,2.98,8.0
2005-05-08,Cooum,2.21,8.0
2005-05-08,Thamirabarani,2.22,12.0
2005-05-09,Cauvery,2.37,12.0
2005-05-09,Palar,1.9,12.0
2005-05-09,Adyar,1.82,8.0
2005-05-09,Cooum,2.98,8.0
2005-05-09,Thamirabarani,2.95,12.0
2005-05-10,Cauvery,2.73,12.0
2005-05-10,Palar,3.18,12.0
2005-05-10,Adyar,2.99,8.0
2005-05-10,Cooum,1.81,8.0
2005-05-10,Thamirabarani,1.88,12.0
2005-05-11,Cauvery,1.55,12.0
2005-05-11,Palar,2.15,12.0
2005-05-11,Adyar,2.01,8.0
2005-05-11,Cooum,1.99,8.0
2005-05-11,Thamirabarani,2.68,12.0
2005-05-12,Cauvery,1.72,12.0
2005-05-12,Palar,1.51,12.0
2005-05-12,Adyar,2.78,8.0
2005-05-12,Cooum,1.71,8.0
2005-05-12,Thamirabarani,2.67,12.0
2005-05-13,Cauvery,2.49,12.0
2005-05-13,Palar,1.83,12.0
2005-05-13,Adyar,2.02,8.0
2005-05-13,Cooum,2.75,8.0
2005-05-13,Thamirabarani,1.62,12.0
2005-05-14,Cauvery,2.64,12.0
2005-05-14,Palar,2.01,12.0
2005-05-14,Adyar,3.05,8.0
2005-05-14,Cooum,3.02,8.0
2005-05-14,Thamirabarani,2.24,12.0
2005-05-15,Cauvery,2.19,12.0
2005-05-15,Palar,1.87,12.0
2005-05-15,Adyar,1.6,8.0
2005-05-15,Cooum,3.04,8.0
2005-05-15,Thamirabarani,2.94,12.0
2005-05-16,Cauvery,2.21,12.0
